net,length_um
clknet_leaf_23_clk_regs,124.67µm
net670,124.535µm
net590,124.495µm
net672,124.255µm
net612,124.155µm
net688,123.38µm
result_ram\[11\],123.15µm
net629,122.575µm
_0416_,122.41µm
_2150_,122.16µm
net719,121.865µm
clknet_leaf_4_clk_regs,121.38µm
net625,121.26µm
result_ram\[7\],121.22µm
u_mac_2.temp_res\[9\],120.24µm
_0796_,120.16µm
_0413_,120.13µm
clknet_leaf_33_clk_regs,120.06µm
result_ram\[8\],119.79µm
read_shift\[17\],119.65µm
clknet_leaf_6_clk_regs,119.62µm
clknet_leaf_25_clk_regs,119.615µm
clknet_leaf_28_clk_regs,118.84µm
net680,118.67µm
clknet_leaf_0_clk_regs,118.665µm
clknet_leaf_45_clk_regs,118.175µm
_0706_,118.1µm
_1898_,118.09µm
u_mac_2.temp_res\[6\],118.035µm
clknet_leaf_7_clk_regs,117.94µm
net650,117.16µm
_2041_,116.465µm
clknet_leaf_26_clk_regs,116.345µm
_0380_,115.635µm
net709,115.39µm
net669,114.99µm
clknet_leaf_9_clk_regs,114.54µm
clknet_leaf_1_clk_regs,114.27µm
net609,113.9µm
net800,113.315µm
net849,113.315µm
_0839_,113.04µm
net638,112.97µm
net730,112.69µm
clknet_leaf_47_clk_regs,112.55µm
net828,112.165µm
net618,112.08µm
net734,111.96µm
clknet_leaf_16_clk_regs,111.125µm
net690,111.04µm
clknet_leaf_31_clk_regs,110.695µm
_1593_,110.52µm
_1727_,110.12µm
_0568_,109.56µm
net671,109.265µm
net852,108.97µm
net636,108.56µm
_0452_,108.43µm
ram_wrcnt\[1\],108.43µm
_0780_,108.15µm
clknet_leaf_19_clk_regs,106.89µm
net674,105.95µm
net614,105.78µm
read_shift\[0\],105.63µm
_1277_,105.155µm
read_shift\[16\],105.03µm
net679,104.68µm
_0838_,104.36µm
clknet_leaf_41_clk_regs,104.005µm
u_mac_2.temp_res\[8\],103.965µm
net660,103.55µm
_2035_,103.14µm
net657,103.01µm
clknet_leaf_3_clk_regs,102.93µm
net622,102.815µm
net764,101.935µm
_1342_,101.715µm
_0404_,101.65µm
u_mac_2.temp_res\[7\],101.57µm
clknet_leaf_43_clk_regs,101.4µm
_0811_,101.355µm
net683,101.305µm
_1897_,101.265µm
net692,101.255µm
_1346_,101.22µm
net677,101.05µm
_2464_,100.93µm
_1124_,100.8µm
net736,100.67µm
ram_wrcnt\[0\],100.66µm
_1671_,100.45µm
_0410_,100.27µm
read_shift\[4\],100.22µm
net740,100.2µm
_2031_,99.905µm
u_input_buffer.mem\[0\]\[4\],99.76µm
_0843_,99.51µm
clknet_leaf_5_clk_regs,99.44µm
clknet_leaf_29_clk_regs,99.37µm
_0817_,99.28µm
net675,98.805µm
net717,98.64µm
_0973_,98.625µm
u_mac_2.temp_res\[4\],98.545µm
u_mac_1.temp_res\[14\],98.025µm
_0715_,97.94µm
_1255_,97.8µm
_2012_,96.97µm
net623,96.645µm
u_input_buffer.mem\[19\]\[7\],96.515µm
net848,96.475µm
_2034_,96.33µm
net839,96.285µm
_1852_,96.18µm
_2045_,96.18µm
net641,96.115µm
