net,length_um
_2344_,21.61µm
_0787_,21.6µm
_1428_,21.6µm
u_input_buffer.mem\[30\]\[7\],21.6µm
_1137_,21.56µm
net1274,21.555µm
_0431_,21.55µm
_1037_,21.445µm
_1657_,21.42µm
_2214_,21.42µm
_2187_,21.4µm
_1718_,21.37µm
_1474_,21.345µm
_2011_,21.31µm
_2018_,21.255µm
input_data[1],21.24µm
_2328_,21.225µm
_0964_,21.21µm
_0397_,21.165µm
_1295_,21.15µm
u_input_buffer.mem\[31\]\[0\],21.145µm
_1746_,21.14µm
_1798_,21.14µm
_1688_,21.115µm
_0974_,21.025µm
u_input_buffer.mem\[19\]\[1\],21.01µm
_1152_,21µm
_2175_,21µm
u_input_buffer.mem\[11\]\[2\],20.96µm
_2550_,20.94µm
_1368_,20.935µm
_1212_,20.905µm
u_input_buffer.mem\[1\]\[5\],20.88µm
read_index\[7\],20.875µm
_1910_,20.85µm
u_input_buffer.mem\[9\]\[6\],20.83µm
_0183_,20.77µm
_2161_,20.73µm
_0769_,20.725µm
_0268_,20.58µm
_0909_,20.53µm
_1839_,20.53µm
_2129_,20.52µm
_2360_,20.52µm
_2082_,20.515µm
net809,20.47µm
_1755_,20.455µm
_2065_,20.375µm
_1971_,20.35µm
u_input_buffer.mem\[14\]\[3\],20.35µm
_1051_,20.315µm
net63,20.31µm
_2324_,20.3µm
_2331_,20.29µm
u_input_buffer.mem\[3\]\[4\],20.29µm
input_data[2],20.28µm
_0819_,20.19µm
net94,20.185µm
_2189_,20.18µm
net1206,20.18µm
_1526_,20.17µm
net1129,20.13µm
net1250,20.12µm
_2180_,20.075µm
_1454_,20.07µm
u_mac_4.temp_res\[13\],20µm
net1123,19.93µm
_0969_,19.895µm
net96,19.88µm
_1717_,19.86µm
_1790_,19.86µm
net1275,19.86µm
_2389_,19.825µm
u_input_buffer.mem\[1\]\[1\],19.825µm
net1199,19.81µm
_1110_,19.8µm
u_input_buffer.mem\[20\]\[4\],19.775µm
net554,19.775µm
net1261,19.74µm
u_mac_1.temp_res\[1\],19.7µm
_1408_,19.695µm
_2332_,19.665µm
net1146,19.665µm
_1323_,19.645µm
net844,19.58µm
u_mac_4.temp_res\[3\],19.57µm
_0764_,19.56µm
_1363_,19.51µm
_2225_,19.505µm
u_input_buffer.mem\[4\]\[7\],19.505µm
u_ctrl.input_cnt\[4\],19.465µm
_0695_,19.45µm
_1096_,19.45µm
_1958_,19.45µm
u_input_buffer.mem\[31\]\[6\],19.45µm
net1220,19.45µm
_0588_,19.39µm
_2439_,19.39µm
_0864_,19.38µm
_1797_,19.38µm
net28,19.37µm
net1035,19.355µm
u_input_buffer.mem\[25\]\[2\],19.35µm
_0872_,19.34µm
_2167_,19.34µm
u_input_buffer.mem\[18\]\[1\],19.33µm
input_data[7],19.32µm
_1470_,19.29µm
_2465_,19.27µm
u_input_buffer.mem\[15\]\[6\],19.26µm
net26,19.23µm
_1045_,19.21µm
_1112_,19.21µm
u_input_buffer.mem\[10\]\[7\],19.16µm
_2423_,19.155µm
_2181_,19.15µm
u_input_buffer.mem\[1\]\[0\],19.15µm
_1957_,19.08µm
u_input_buffer.mem\[18\]\[5\],19.075µm
_1286_,19.03µm
_1385_,19.02µm
u_mac_3.temp_res\[1\],19.02µm
_0953_,18.99µm
_2416_,18.985µm
_1579_,18.98µm
_2426_,18.98µm
_2030_,18.96µm
_2321_,18.96µm
_1412_,18.93µm
_0768_,18.92µm
net522,18.91µm
net1228,18.91µm
res_index\[3\],18.9µm
net1195,18.9µm
_2238_,18.865µm
_1632_,18.85µm
_2157_,18.84µm
_1962_,18.79µm
_1843_,18.775µm
_1358_,18.745µm
_2366_,18.73µm
u_input_buffer.mem\[9\]\[7\],18.715µm
_1758_,18.705µm
_2027_,18.66µm
_2188_,18.61µm
_2192_,18.61µm
_1127_,18.605µm
_1314_,18.6µm
_2482_,18.595µm
net1162,18.585µm
_0684_,18.55µm
net997,18.55µm
_1253_,18.54µm
_2256_,18.535µm
net25,18.53µm
net22,18.51µm
_1214_,18.49µm
_1948_,18.49µm
_1523_,18.48µm
_2508_,18.48µm
_2526_,18.48µm
net62,18.47µm
_2195_,18.445µm
u_input_buffer.mem\[20\]\[7\],18.445µm
u_input_buffer.mem\[5\]\[5\],18.43µm
net1210,18.39µm
_0881_,18.385µm
u_input_buffer.mem\[14\]\[1\],18.37µm
_1970_,18.32µm
_1626_,18.31µm
u_input_buffer.mem\[5\]\[4\],18.25µm
_2154_,18.24µm
_1405_,18.18µm
_1312_,18.165µm
net23,18.15µm
u_input_buffer.mem\[25\]\[7\],18.145µm
u_input_buffer.mem\[17\]\[0\],18.12µm
_0828_,18.115µm
_0724_,18.07µm
_2142_,18.07µm
u_input_buffer.mem\[12\]\[7\],18.07µm
net1161,18.07µm
_0449_,18.06µm
u_input_buffer.mem\[16\]\[0\],18.06µm
_0982_,18.025µm
_1555_,18.02µm
_1864_,18.02µm
_1006_,18.01µm
_1068_,17.995µm
net1202,17.995µm
_1251_,17.96µm
net1226,17.96µm
u_input_buffer.mem\[20\]\[5\],17.955µm
_2119_,17.9µm
_2523_,17.89µm
_1134_,17.88µm
net21,17.87µm
_2118_,17.84µm
_1533_,17.83µm
_2257_,17.795µm
_1536_,17.76µm
net1215,17.745µm
_1136_,17.72µm
_1418_,17.72µm
_0320_,17.7µm
_1917_,17.68µm
net1169,17.675µm
net1208,17.665µm
_0681_,17.65µm
_0902_,17.65µm
_1333_,17.65µm
_1463_,17.65µm
u_input_buffer.mem\[28\]\[0\],17.65µm
_1338_,17.62µm
net1181,17.58µm
u_input_buffer.mem\[22\]\[7\],17.575µm
_2479_,17.57µm
_1061_,17.53µm
_1947_,17.53µm
net1089,17.53µm
_1116_,17.52µm
_2504_,17.52µm
_1293_,17.515µm
net1273,17.495µm
_0261_,17.47µm
read_ram,17.47µm
u_input_buffer.mem\[16\]\[5\],17.455µm
net97,17.43µm
net1239,17.42µm
_1279_,17.41µm
_1645_,17.41µm
u_ctrl.input_cnt\[3\],17.41µm
_1833_,17.405µm
input_data[3],17.4µm
input_data[4],17.4µm
input_data[6],17.4µm
_1551_,17.37µm
_1013_,17.36µm
_2178_,17.355µm
_2316_,17.295µm
_0981_,17.265µm
_0985_,17.265µm
_1441_,17.23µm
net1270,17.23µm
u_input_buffer.mem\[27\]\[4\],17.22µm
_1002_,17.215µm
net24,17.19µm
_0444_,17.17µm
_2191_,17.16µm
_0625_,17.15µm
_2068_,17.13µm
u_mac_4.temp_res\[1\],17.12µm
read_index\[2\],17.11µm
_2240_,17.06µm
_0312_,17.05µm
_2493_,17.05µm
_0851_,17.04µm
_1668_,17.04µm
start,16.98µm
u_input_buffer.mem\[9\]\[1\],16.98µm
_1018_,16.975µm
net1008,16.945µm
_1914_,16.94µm
_2287_,16.935µm
net288,16.93µm
_1597_,16.915µm
_2500_,16.905µm
_2098_,16.89µm
u_input_buffer.mem\[10\]\[2\],16.87µm
_0596_,16.86µm
_1167_,16.86µm
u_input_buffer.mem\[17\]\[7\],16.845µm
_1373_,16.81µm
net1180,16.81µm
_2159_,16.74µm
net1098,16.74µm
u_input_buffer.mem\[24\]\[1\],16.71µm
u_input_buffer.mem\[22\]\[0\],16.69µm
u_input_buffer.mem\[26\]\[5\],16.69µm
_1502_,16.68µm
_1893_,16.68µm
_2361_,16.68µm
u_input_buffer.mem\[26\]\[0\],16.68µm
_0933_,16.66µm
_1095_,16.63µm
_1940_,16.62µm
_2264_,16.62µm
u_input_buffer.mem\[26\]\[3\],16.575µm
_1050_,16.57µm
u_input_buffer.mem\[1\]\[3\],16.57µm
_2529_,16.56µm
u_input_buffer.mem\[18\]\[2\],16.56µm
_1567_,16.525µm
_2111_,16.52µm
_0529_,16.51µm
_0810_,16.51µm
_2334_,16.495µm
u_input_buffer.mem\[5\]\[2\],16.465µm
_2090_,16.45µm
u_input_buffer.mem\[1\]\[2\],16.445µm
_0716_,16.44µm
_1366_,16.44µm
_1580_,16.44µm
_1038_,16.4µm
_1160_,16.4µm
_2335_,16.35µm
_0181_,16.33µm
_0649_,16.32µm
u_input_buffer.mem\[10\]\[3\],16.32µm
u_ctrl.state\[1\],16.27µm
_1206_,16.26µm
_1370_,16.26µm
_1913_,16.26µm
_2347_,16.235µm
_1472_,16.225µm
_2242_,16.225µm
_2288_,16.22µm
_0151_,16.21µm
_2186_,16.21µm
net490,16.21µm
read_data_out[4],16.21µm
read_data_out[6],16.21µm
read_data_out[8],16.21µm
_2213_,16.2µm
_1031_,16.195µm
net95,16.19µm
_0044_,16.185µm
res_index\[7\],16.15µm
net1246,16.15µm
net1249,16.15µm
finish,16.14µm
net1229,16.14µm
_1991_,16.115µm
_1781_,16.105µm
_1945_,16.105µm
_0042_,16.1µm
_1449_,16.1µm
_1083_,16.09µm
u_input_buffer.mem\[8\]\[5\],16.09µm
_2270_,16.085µm
_2133_,16.08µm
net98,16.07µm
_0934_,15.99µm
_2170_,15.98µm
_2317_,15.98µm
_1911_,15.96µm
u_input_buffer.mem\[23\]\[7\],15.935µm
_1164_,15.93µm
_1552_,15.92µm
_0148_,15.91µm
_1074_,15.91µm
_0104_,15.9µm
_2048_,15.885µm
_2458_,15.85µm
_1865_,15.81µm
_0895_,15.79µm
net1033,15.79µm
net1279,15.79µm
_0734_,15.78µm
_2136_,15.78µm
u_input_buffer.mem\[29\]\[4\],15.78µm
u_input_buffer.mem\[24\]\[5\],15.76µm
net1163,15.74µm
_0121_,15.72µm
_0485_,15.72µm
_1025_,15.72µm
_2208_,15.72µm
net354,15.72µm
net1217,15.715µm
_1108_,15.695µm
net1179,15.68µm
_0551_,15.67µm
u_input_buffer.mem\[13\]\[1\],15.64µm
_1435_,15.62µm
_1343_,15.61µm
u_input_buffer.mem\[2\]\[4\],15.61µm
_0445_,15.6µm
_0102_,15.59µm
_1830_,15.56µm
_0521_,15.55µm
_0988_,15.55µm
u_input_buffer.mem\[29\]\[0\],15.55µm
_1601_,15.51µm
_0831_,15.5µm
_1185_,15.5µm
_1532_,15.5µm
_1389_,15.49µm
u_input_buffer.mem\[0\]\[3\],15.49µm
_0990_,15.485µm
_1122_,15.475µm
u_ctrl.input_cnt\[0\],15.47µm
_2310_,15.45µm
_0172_,15.42µm
_0972_,15.42µm
_2200_,15.4µm
_2278_,15.385µm
_1427_,15.38µm
_0177_,15.37µm
_0939_,15.325µm
_0966_,15.31µm
_1640_,15.3µm
_2432_,15.3µm
u_input_buffer.mem\[23\]\[6\],15.3µm
_2521_,15.285µm
_1805_,15.255µm
_1320_,15.25µm
_1170_,15.24µm
_1545_,15.24µm
_2039_,15.24µm
_2202_,15.24µm
_2314_,15.24µm
_1819_,15.22µm
net506,15.21µm
_1415_,15.195µm
_2176_,15.19µm
_2293_,15.19µm
u_input_buffer.mem\[8\]\[0\],15.19µm
_0474_,15.18µm
_2368_,15.18µm
_2252_,15.17µm
_2311_,15.15µm
_1930_,15.14µm
u_input_buffer.mem\[30\]\[3\],15.14µm
_1392_,15.13µm
u_input_buffer.mem\[11\]\[4\],15.13µm
u_input_buffer.mem\[14\]\[2\],15.13µm
u_input_buffer.mem\[7\]\[2\],15.13µm
net548,15.13µm
net1106,15.13µm
_2545_,15.12µm
u_input_buffer.mem\[20\]\[2\],15.115µm
_2262_,15.095µm
_0314_,15.07µm
_1357_,15.07µm
u_input_buffer.mem\[24\]\[4\],15.07µm
u_input_buffer.mem\[0\]\[1\],15.055µm
net503,15.03µm
_1372_,15.01µm
net1224,15.01µm
_2121_,15µm
net501,14.97µm
_0443_,14.94µm
net1054,14.94µm
u_input_buffer.mem\[4\]\[4\],14.935µm
_2490_,14.905µm
_1854_,14.9µm
_0374_,14.83µm
_2130_,14.83µm
net919,14.83µm
_1347_,14.82µm
u_input_buffer.mem\[23\]\[4\],14.82µm
_1162_,14.79µm
net504,14.79µm
net521,14.79µm
_2290_,14.785µm
_0752_,14.78µm
_1495_,14.78µm
_1922_,14.78µm
net437,14.77µm
net502,14.77µm
u_input_buffer.mem\[25\]\[3\],14.76µm
net1263,14.76µm
_0689_,14.71µm
_1322_,14.71µm
_0161_,14.7µm
_1916_,14.695µm
net1177,14.675µm
_0101_,14.65µm
u_input_buffer.mem\[30\]\[6\],14.65µm
_2441_,14.645µm
_1332_,14.64µm
_1729_,14.64µm
_1823_,14.64µm
u_input_buffer.mem\[22\]\[4\],14.615µm
_0027_,14.58µm
_2244_,14.58µm
net1135,14.575µm
net496,14.53µm
net510,14.53µm
u_input_buffer.mem\[14\]\[5\],14.53µm
_0945_,14.52µm
net526,14.505µm
net489,14.49µm
net515,14.49µm
net494,14.45µm
net508,14.45µm
net520,14.45µm
_1689_,14.445µm
_1908_,14.425µm
_1838_,14.42µm
_2113_,14.42µm
u_input_buffer.mem\[10\]\[5\],14.42µm
_2373_,14.41µm
net499,14.41µm
net513,14.41µm
_2141_,14.4µm
net78,14.395µm
_0442_,14.35µm
_1448_,14.35µm
_1905_,14.35µm
u_input_buffer.mem\[4\]\[5\],14.35µm
_0617_,14.34µm
_0937_,14.31µm
net492,14.31µm
net497,14.31µm
net511,14.31µm
net518,14.31µm
_0403_,14.29µm
_1585_,14.29µm
_2279_,14.29µm
_2379_,14.29µm
net516,14.29µm
_0750_,14.28µm
u_input_buffer.mem\[2\]\[7\],14.275µm
net1245,14.275µm
_1519_,14.26µm
net495,14.25µm
net509,14.25µm
_0322_,14.23µm
_0501_,14.23µm
u_input_buffer.mem\[21\]\[2\],14.23µm
u_input_buffer.mem\[17\]\[6\],14.22µm
net500,14.21µm
net514,14.21µm
_0150_,14.18µm
_1032_,14.18µm
net280,14.17µm
net493,14.17µm
net507,14.17µm
net519,14.17µm
u_input_buffer.mem\[22\]\[1\],14.17µm
_1149_,14.16µm
_1193_,14.16µm
net165,14.16µm
net403,14.16µm
_1436_,14.135µm
_1934_,14.12µm
u_mac_3.temp_res\[0\],14.12µm
_0319_,14.1µm
_1133_,14.1µm
net491,14.07µm
net498,14.07µm
net505,14.07µm
net512,14.07µm
net517,14.07µm
_0733_,14.065µm
_1738_,14.06µm
_1808_,14.06µm
_0987_,14.05µm
u_input_buffer.mem\[5\]\[0\],14.025µm
_1284_,13.93µm
net103,13.93µm
net878,13.93µm
net1171,13.93µm
_1577_,13.92µm
u_input_buffer.mem\[7\]\[6\],13.92µm
net870,13.92µm
_2134_,13.87µm
net1221,13.87µm
_1059_,13.86µm
_2494_,13.86µm
_1896_,13.845µm
net101,13.83µm
net108,13.83µm
_1518_,13.82µm
u_input_buffer.mem\[13\]\[4\],13.82µm
_0197_,13.81µm
_0221_,13.81µm
_0295_,13.81µm
_0653_,13.81µm
_2453_,13.81µm
net106,13.81µm
u_input_buffer.mem\[28\]\[5\],13.81µm
net1112,13.81µm
net1283,13.81µm
_1100_,13.8µm
_1490_,13.795µm
_1694_,13.795µm
net99,13.77µm
net111,13.77µm
u_input_buffer.mem\[17\]\[4\],13.76µm
_0180_,13.75µm
_2296_,13.75µm
_1772_,13.74µm
_2450_,13.735µm
_0049_,13.73µm
_0916_,13.73µm
net104,13.73µm
u_input_buffer.mem\[6\]\[0\],13.73µm
u_mac_4.temp_res\[4\],13.705µm
_1961_,13.7µm
_2173_,13.7µm
net1276,13.7µm
_0763_,13.69µm
_0849_,13.69µm
_2555_,13.69µm
net294,13.69µm
net109,13.69µm
u_input_buffer.mem\[21\]\[3\],13.69µm
u_input_buffer.mem\[7\]\[0\],13.69µm
net1212,13.69µm
_1529_,13.68µm
_2495_,13.68µm
_2183_,13.64µm
_0160_,13.63µm
_1073_,13.63µm
_1665_,13.63µm
_2475_,13.63µm
_1909_,13.625µm
_1749_,13.59µm
net27,13.59µm
net102,13.59µm
net107,13.59µm
u_input_buffer.mem\[17\]\[5\],13.59µm
_0912_,13.58µm
net100,13.57µm
_0775_,13.56µm
_0857_,13.545µm
net105,13.53µm
_0215_,13.51µm
_2182_,13.51µm
net942,13.51µm
net951,13.51µm
_1057_,13.5µm
net110,13.49µm
_2474_,13.485µm
u_mac_4.temp_res\[5\],13.45µm
_0145_,13.44µm
_1201_,13.44µm
_2089_,13.41µm
_0569_,13.39µm
_0907_,13.39µm
_1369_,13.39µm
net1096,13.39µm
_1023_,13.38µm
_1817_,13.38µm
_1576_,13.375µm
net51,13.35µm
net56,13.35µm
_1210_,13.335µm
_0013_,13.33µm
_1300_,13.33µm
_1698_,13.33µm
_2378_,13.33µm
net972,13.33µm
net1232,13.33µm
_0399_,13.32µm
_1386_,13.32µm
_1444_,13.32µm
_2393_,13.32µm
net49,13.315µm
net61,13.315µm
_1318_,13.31µm
_2010_,13.31µm
_1708_,13.3µm
net54,13.275µm
_0185_,13.27µm
_1528_,13.27µm
u_input_buffer.mem\[15\]\[0\],13.27µm
net1266,13.27µm
u_mac_4.temp_res\[0\],13.26µm
_2534_,13.255µm
net47,13.235µm
net59,13.235µm
net1158,13.235µm
_0936_,13.22µm
_0210_,13.21µm
_2179_,13.21µm
u_input_buffer.mem\[2\]\[6\],13.21µm
u_input_buffer.mem\[8\]\[1\],13.21µm
_0265_,13.2µm
_1313_,13.2µm
_1697_,13.2µm
_1762_,13.2µm
_2397_,13.2µm
_2462_,13.2µm
net304,13.2µm
net376,13.2µm
_1482_,13.195µm
net52,13.195µm
u_input_buffer.mem\[12\]\[1\],13.195µm
_1191_,13.165µm
read_index\[5\],13.15µm
net1240,13.145µm
u_input_buffer.mem\[9\]\[5\],13.135µm
net50,13.11µm
net57,13.11µm
_0917_,13.105µm
u_input_buffer.mem\[24\]\[0\],13.105µm
_1000_,13.1µm
_1316_,13.1µm
_2199_,13.1µm
_2410_,13.1µm
_1422_,13.09µm
_1447_,13.09µm
_1542_,13.09µm
_1700_,13.09µm
u_input_buffer.mem\[3\]\[3\],13.08µm
_2124_,13.075µm
net55,13.075µm
_0534_,13.065µm
_1664_,13.065µm
net48,13.035µm
net60,13.035µm
u_input_buffer.mem\[17\]\[2\],13.03µm
net53,12.995µm
_2460_,12.98µm
_1423_,12.97µm
net968,12.96µm
net46,12.955µm
net58,12.955µm
_0628_,12.91µm
net874,12.91µm
net1104,12.91µm
_0759_,12.9µm
u_input_buffer.mem\[20\]\[1\],12.9µm
u_input_buffer.mem\[31\]\[2\],12.9µm
net85,12.865µm
_0220_,12.85µm
_1142_,12.85µm
_2062_,12.85µm
_1200_,12.84µm
_0721_,12.835µm
_1336_,12.835µm
net69,12.835µm
net44,12.825µm
net90,12.825µm
net74,12.795µm
_0099_,12.79µm
_0753_,12.79µm
_1712_,12.79µm
_2349_,12.79µm
u_input_buffer.mem\[4\]\[6\],12.79µm
net1097,12.79µm
net83,12.785µm
_1944_,12.78µm
_1946_,12.78µm
_2274_,12.78µm
_0382_,12.765µm
net67,12.755µm
_0938_,12.745µm
_1473_,12.745µm
net42,12.745µm
net88,12.745µm
_1060_,12.735µm
u_input_buffer.mem\[6\]\[1\],12.73µm
_1799_,12.72µm
net72,12.715µm
u_input_buffer.mem\[23\]\[1\],12.685µm
net1185,12.68µm
_1329_,12.67µm
_1794_,12.67µm
u_input_buffer.mem\[12\]\[3\],12.66µm
u_input_buffer.mem\[2\]\[2\],12.66µm
_0167_,12.65µm
net45,12.63µm
net65,12.63µm
net70,12.63µm
net77,12.63µm
net79,12.63µm
net81,12.63µm
net86,12.63µm
net93,12.63µm
net91,12.625µm
_2427_,12.62µm
_2470_,12.62µm
_0882_,12.61µm
_2319_,12.61µm
net397,12.61µm
_0894_,12.6µm
net75,12.595µm
u_input_buffer.mem\[28\]\[3\],12.595µm
_0055_,12.585µm
net84,12.585µm
_1089_,12.57µm
_1036_,12.565µm
_1321_,12.56µm
net68,12.555µm
_0128_,12.55µm
net43,12.545µm
net89,12.545µm
_1806_,12.54µm
net29,12.53µm
net73,12.515µm
_2363_,12.51µm
_1868_,12.505µm
net82,12.505µm
_0892_,12.495µm
_1254_,12.49µm
_1538_,12.49µm
u_input_buffer.mem\[19\]\[0\],12.49µm
_0195_,12.48µm
_0592_,12.48µm
_1115_,12.48µm
_2194_,12.48µm
_2241_,12.48µm
net66,12.475µm
_0043_,12.43µm
_0692_,12.43µm
_1654_,12.43µm
net1004,12.43µm
net865,12.42µm
_1821_,12.415µm
_2117_,12.415µm
net32,12.39µm
net39,12.39µm
net64,12.39µm
net71,12.39µm
net76,12.39µm
net80,12.39µm
net87,12.39µm
net92,12.39µm
_1606_,12.37µm
net908,12.37µm
net1255,12.37µm
_1380_,12.36µm
net34,12.355µm
_0296_,12.35µm
_0858_,12.32µm
net1192,12.32µm
net41,12.315µm
u_input_buffer.mem\[0\]\[0\],12.315µm
_0519_,12.31µm
_1189_,12.31µm
_2043_,12.31µm
net37,12.305µm
_1847_,12.295µm
net36,12.275µm
net30,12.265µm
_1011_,12.26µm
_1017_,12.26µm
net1222,12.26µm
_1993_,12.25µm
u_input_buffer.mem\[15\]\[2\],12.25µm
net1280,12.25µm
_2116_,12.24µm
net383,12.24µm
net406,12.24µm
net414,12.24µm
net31,12.235µm
u_input_buffer.mem\[11\]\[5\],12.215µm
u_input_buffer.mem\[20\]\[0\],12.215µm
_0875_,12.2µm
_1128_,12.2µm
_1217_,12.2µm
_1377_,12.195µm
_0174_,12.19µm
_0540_,12.19µm
_1055_,12.19µm
_1371_,12.19µm
_1607_,12.18µm
_1744_,12.175µm
net33,12.15µm
net35,12.15µm
net38,12.15µm
net40,12.15µm
net1166,12.15µm
_0784_,12.14µm
_1842_,12.14µm
net186,12.14µm
net1172,12.14µm
_1877_,12.135µm
_0827_,12.13µm
_2146_,12.13µm
u_input_buffer.mem\[5\]\[3\],12.13µm
_0231_,12.12µm
net1282,12.1µm
net1238,12.09µm
_0213_,12.07µm
u_input_buffer.mem\[17\]\[1\],12.07µm
u_input_buffer.mem\[1\]\[6\],12.07µm
u_input_buffer.mem\[8\]\[2\],12.07µm
u_input_buffer.mem\[27\]\[5\],12.065µm
_1221_,12.06µm
_0284_,12.02µm
_1776_,12.02µm
_0176_,12.01µm
_0466_,12.01µm
_0623_,12µm
_2343_,12µm
_2520_,12µm
u_input_buffer.mem\[26\]\[4\],12µm
_1020_,11.985µm
_1479_,11.96µm
_0324_,11.95µm
_0658_,11.95µm
_0962_,11.95µm
_2491_,11.95µm
u_input_buffer.mem\[13\]\[3\],11.95µm
_0097_,11.94µm
_0488_,11.94µm
_0552_,11.94µm
_0832_,11.94µm
_2002_,11.94µm
net988,11.94µm
_2415_,11.935µm
_0861_,11.9µm
_0085_,11.89µm
_0207_,11.89µm
_1465_,11.89µm
_1856_,11.89µm
net123,11.89µm
net524,11.89µm
net525,11.89µm
_2243_,11.88µm
read_index\[8\],11.815µm
_1356_,11.79µm
_1166_,11.78µm
net1271,11.78µm
_0601_,11.775µm
_2325_,11.77µm
net163,11.77µm
u_input_buffer.mem\[13\]\[6\],11.77µm
_0970_,11.76µm
net265,11.76µm
net375,11.76µm
_0797_,11.755µm
_1325_,11.755µm
_0072_,11.71µm
u_input_buffer.mem\[0\]\[5\],11.71µm
_1515_,11.695µm
_0483_,11.66µm
_1367_,11.66µm
_1584_,11.66µm
u_mac_1.temp_res\[10\],11.66µm
_1044_,11.65µm
_2519_,11.65µm
_0163_,11.64µm
_0216_,11.64µm
_1539_,11.64µm
_0109_,11.59µm
_0111_,11.59µm
_0980_,11.58µm
_1126_,11.53µm
net568,11.53µm
net1040,11.53µm
net1107,11.53µm
_0307_,11.52µm
_1571_,11.52µm
_1752_,11.52µm
_0011_,11.47µm
_0305_,11.47µm
_0590_,11.47µm
_1282_,11.47µm
net556,11.47µm
net1108,11.47µm
_0301_,11.46µm
_0693_,11.46µm
_1008_,11.455µm
net194,11.445µm
_0112_,11.41µm
_0367_,11.41µm
_0578_,11.41µm
_1443_,11.41µm
_1569_,11.41µm
_2006_,11.41µm
_2237_,11.41µm
_2291_,11.41µm
_2436_,11.41µm
net541,11.41µm
_0178_,11.4µm
net409,11.4µm
u_input_buffer.mem\[8\]\[7\],11.355µm
_0074_,11.35µm
_1949_,11.35µm
u_input_buffer.mem\[4\]\[0\],11.35µm
_1361_,11.34µm
_1450_,11.34µm
_2166_,11.335µm
_0961_,11.325µm
_0999_,11.3µm
_1148_,11.3µm
_1426_,11.3µm
_1669_,11.3µm
_2102_,11.3µm
_2115_,11.3µm
_2217_,11.3µm
_2084_,11.29µm
_2294_,11.29µm
net1095,11.29µm
_0986_,11.285µm
net244,11.28µm
net289,11.28µm
_1783_,11.24µm
_0878_,11.23µm
u_input_buffer.mem\[28\]\[7\],11.23µm
u_input_buffer.mem\[2\]\[0\],11.23µm
u_input_buffer.mem\[26\]\[7\],11.22µm
_2097_,11.215µm
u_input_buffer.mem\[3\]\[5\],11.185µm
_1488_,11.18µm
net1153,11.18µm
_0951_,11.17µm
_1257_,11.17µm
_1374_,11.17µm
_1530_,11.17µm
_2525_,11.17µm
_1230_,11.16µm
_1546_,11.16µm
_2212_,11.16µm
u_input_buffer.mem\[22\]\[2\],11.16µm
_2323_,11.12µm
_2125_,11.115µm
_0257_,11.11µm
_1836_,11.11µm
_2407_,11.1µm
u_input_buffer.mem\[4\]\[1\],11.1µm
net347,11.085µm
_1919_,11.06µm
_0311_,11.04µm
_1733_,11.04µm
_1979_,11µm
_0757_,10.99µm
_1029_,10.99µm
_1288_,10.99µm
net1184,10.99µm
net1189,10.99µm
net1242,10.99µm
_0744_,10.98µm
_1920_,10.98µm
_2406_,10.98µm
_2420_,10.98µm
_2219_,10.975µm
_2483_,10.975µm
_0280_,10.93µm
_1825_,10.93µm
net192,10.93µm
_1963_,10.92µm
_1846_,10.915µm
u_input_buffer.mem\[14\]\[0\],10.915µm
u_mac_4.temp_res\[2\],10.915µm
_0134_,10.905µm
_1348_,10.905µm
_2313_,10.905µm
_0925_,10.88µm
_1024_,10.88µm
_1351_,10.88µm
_1858_,10.88µm
net1167,10.88µm
_0891_,10.87µm
_0238_,10.86µm
u_input_buffer.mem\[18\]\[0\],10.86µm
u_input_buffer.mem\[25\]\[4\],10.86µm
_2054_,10.835µm
_0453_,10.82µm
_0884_,10.82µm
_1695_,10.82µm
_1713_,10.82µm
_0366_,10.81µm
_0958_,10.81µm
_1084_,10.81µm
_2354_,10.81µm
net368,10.81µm
_0415_,10.8µm
_0582_,10.8µm
_1222_,10.8µm
_1572_,10.8µm
net132,10.8µm
_1690_,10.76µm
_2078_,10.76µm
u_input_buffer.mem\[31\]\[7\],10.745µm
_1937_,10.74µm
u_input_buffer.mem\[22\]\[5\],10.74µm
net1265,10.71µm
_1812_,10.705µm
u_input_buffer.mem\[4\]\[3\],10.705µm
net1214,10.705µm
u_input_buffer.mem\[29\]\[5\],10.7µm
_0376_,10.69µm
_0777_,10.69µm
_1430_,10.69µm
_2250_,10.69µm
_2028_,10.68µm
_0050_,10.63µm
_0067_,10.63µm
_1111_,10.62µm
_1608_,10.62µm
_2038_,10.62µm
_0767_,10.58µm
_1033_,10.57µm
read_data_out[1],10.57µm
net913,10.57µm
_0330_,10.56µm
_1391_,10.56µm
_1438_,10.56µm
_1710_,10.56µm
_1800_,10.555µm
_1994_,10.51µm
_2478_,10.51µm
net861,10.51µm
net935,10.51µm
net999,10.51µm
net1093,10.51µm
_1874_,10.5µm
_0935_,10.46µm
_1813_,10.46µm
net523,10.46µm
_0942_,10.455µm
_0048_,10.45µm
_0358_,10.45µm
_0599_,10.45µm
_0652_,10.45µm
_1130_,10.45µm
_1326_,10.45µm
_1537_,10.45µm
_1559_,10.45µm
_1661_,10.45µm
_2527_,10.45µm
net167,10.45µm
net1151,10.45µm
_1725_,10.44µm
read_index\[6\],10.44µm
_1304_,10.435µm
_2557_,10.435µm
_1848_,10.43µm
u_input_buffer.mem\[13\]\[2\],10.4µm
u_mac_3.temp_res\[6\],10.4µm
_0129_,10.39µm
